node,indegree
1.1,4
1.2,7
1.3,4
1.4,2
1.5,5
1.6,4
1.7,3
1.8,2
1.9,3
1.10,3
1.11,4
1.12,4
1.13,4
1.14,3
1.15,3
1.16,4
1.17,2
1.18,3
1.19,2
1.20,3
1.21,1
1.22,2
1.23,2
1.24,5
1.25,2
1.26,3
1.27,2
1.28,3
1.29,4
1.30,2
1.31,2
1.32,3
1.33,3
1.34,3
1.35,3
1.36,3
1.37,3
1.38,3
1.39,2
1.40,2
1.41,2
1.42,5
1.43,1
1.44,6
1.45,7
1.46,6
1.47,5
p3,0
p1,0
d1.15,0
c1,0
p2,0
c3,0
c4,0
c5,0
d1.10,0
c2,0
d1.23,0
p5,0
d1.22,0
2.1,4
2.2,2
2.3,2
2.4,7
2.5,4
2.6,4
2.7,2
2.8,5
2.9,9
2.10,11
2.11,5
2.12,3
2.13,3
2.14,4
3.1,4
3.2,4
3.3,5
3.4,2
3.5,0
3.6,0
3.7,4
3.8,6
3.9,4
3.10,3
3.11,2
3.12,2
3.13,4
3.14,5
3.15,7
3.16,5
3.17,4
3.18,4
3.19,2
3.20,2
3.21,2
3.22,2
3.23,2
3.24,2
3.25,6
3.26,3
3.27,3
3.28,4
3.29,4
3.30,4
3.31,5
3.32,6
3.33,7
3.34,4
3.35,5
3.36,5
3.37,4
d3.3,0
d3.4,0
d3.5,0
d3.11,0
d3.1,0
4.1,2
4.2,3
4.3,5
4.4,4
4.5,3
4.6,5
4.7,5
4.8,4
4.9,2
4.10,8
4.11,6
4.12,7
4.13,5
4.14,2
4.15,8
4.16,4
5.1,0
5.2,0
5.3,1
5.4,2
5.5,1
5.6,1
5.7,1
5.8,4
5.9,1
5.10,2
5.11,1
5.12,2
5.13,2
5.14,2
5.15,2
5.16,4
5.17,3
5.18,3
5.19,2
5.20,4
5.21,4
5.22,3
5.23,5
5.24,3
d5.5,0
d5.4,0
d5.7,0
6.1,5
6.2,6
6.3,6
6.4,6
6.5,7
6.6,6
6.7,8
6.8,4
6.9,3
6.10,3
6.11,3
6.12,3
6.13,4
6.14,5
6.15,4
6.16,3
6.17,2
6.18,4
6.19,5
6.20,9
6.21,1
6.22,6
6.23,4
6.24,9
6.25,8
6.26,3
6.27,4
6.28,9
6.29,9
6.30,3
6.31,5
6.32,4
6.33,1
d6.1,0
d5.9,0
7.1,0
7.2,1
7.3,1
7.4,1
7.5,0
7.6,1
7.7,1
7.8,1
7.9,0
7.10,1
7.11,1
7.12,1
7.13,1
7.14,1
7.15,2
7.16,2
7.17,3
7.18,2
7.19,4
7.20,3
7.21,2
7.22,2
7.23,0
7.24,6
7.25,1
7.26,1
7.27,2
7.28,0
7.29,0
7.30,5
7.31,0
7.32,1
7.33,6
7.34,6
7.35,0
7.36,2
7.37,1
7.38,1
7.39,3
d7.20,0
d7.15,0
8.1,3
8.2,5
8.3,4
8.4,4
8.5,4
8.6,4
8.7,1
8.8,6
8.9,5
8.10,2
8.11,3
8.12,3
8.13,1
8.14,3
8.15,3
8.16,1
8.17,1
8.18,4
8.19,6
8.20,6
8.21,9
8.22,2
8.23,2
8.24,3
8.25,3
8.26,2
8.27,2
d5.10,0
d7.21,0
9.1,4
9.2,4
9.3,4
9.4,5
9.5,5
9.6,3
9.7,1
9.8,4
9.9,4
9.10,3
9.11,1
9.12,8
9.13,5
9.14,1
9.15,7
9.16,2
9.17,4
9.18,2
9.19,5
9.20,3
9.21,1
9.22,2
9.23,3
9.24,1
9.25,2
9.26,2
9.27,2
9.28,2
9.29,2
9.30,1
9.31,1
9.32,2
9.33,2
9.34,2
9.35,2
9.36,9
d7.14,0
d7.11,0
d7.6,0
d7.7,0
d7.8,0
d7.9,0
d7.22,0
10.1,1
10.2,1
10.3,1
10.4,2
10.5,3
10.6,7
10.7,1
10.8,1
10.9,4
10.10,5
10.11,4
10.12,5
10.13,4
10.14,5
10.15,1
10.16,1
10.17,5
10.18,3
10.19,3
10.20,4
10.21,3
10.22,6
10.23,6
10.24,1
10.25,6
10.26,8
10.27,8
10.28,10
10.29,5
10.30,4
10.31,6
10.32,10
10.33,9
10.34,6
10.35,5
10.36,7
10.37,3
10.38,12
10.39,4
10.40,3
10.41,6
10.42,4
10.43,3
10.44,13
10.45,2
10.46,2
10.47,5
10.48,9
10.49,9
10.50,8
10.51,8
10.52,8
10.53,13
10.54,12
10.55,9
10.56,4
10.57,6
10.58,7
10.59,6
10.60,13
10.61,10
10.62,7
10.63,7
10.64,7
10.65,5
10.66,14
10.67,5
10.68,7
10.69,1
10.70,1
10.71,14
10.72,14
10.73,6
10.74,4
10.75,12
10.76,2
10.77,2
10.78,7
10.79,4
10.80,3
10.81,11
10.82,3
10.83,2
10.84,5
10.85,7
10.86,7
10.87,7
10.88,6
10.89,6
10.90,7
10.91,15
10.92,14
10.93,14
10.94,12
10.95,7
10.96,8
10.97,10
10.98,12
10.99,12
10.100,12
10.101,9
10.102,9
10.103,8
10.104,4
10.105,9
10.106,1
10.107,1
10.108,8
10.109,6
10.110,6
10.111,15
10.112,13
10.113,14
10.114,6
d10.1,0
d10.4,0
d10.3,0
d10.5,0
d10.6,0
d10.7,0
d10.8,0
d10.10,0
d10.9,0
d10.11,0
d10.12,0
d10.13,0
d10.14,0
d10.15,0
d10.16,0
11.1,0
11.2,1
11.3,0
11.4,6
11.5,2
11.6,6
11.7,1
11.8,7
11.9,3
11.10,3
11.11,6
11.12,3
11.13,2
11.14,4
11.15,7
11.16,2
11.17,3
11.18,5
11.19,2
11.20,3
11.21,2
11.22,3
11.23,16
11.24,4
11.25,3
11.26,6
11.27,4
11.28,3
11.29,3
11.30,1
11.31,11
11.32,3
11.33,5
11.34,6
11.35,6
11.36,4
11.37,1
11.38,7
d11.3,0
d11.8,0
d11.4,0
d11.10,0
d11.9,0
1.48,0
12.1,7
12.2,8
12.3,11
12.4,7
12.5,8
12.6,3
12.7,2
12.8,8
12.9,3
12.10,6
12.11,12
12.12,15
12.13,2
12.14,3
12.15,5
12.16,4
12.17,18
12.18,0
11.39,0
d11.24,0
d11.14,0
d3.28,0
13.1,3
13.2,5
13.3,1
13.4,2
13.5,4
13.6,7
13.7,4
13.8,7
13.9,7
13.10,9
13.11,15
13.12,3
13.13,10
13.14,5
13.15,4
13.16,13
13.17,14
13.18,17
d6.3,0
d11.11,0
